label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10
1	780 m/(s^2)	0.8335	santa ana	Basketball	None	1282 N	0.9774	-0.1603	1215	569 m^2	965
1	151 m/(s^2)	0.8964	Santa Ana	boxing	0.8355	1597 N	0.8088	0.0553	1080	1297 m^2	854
4	1254 m/(s^2)	1.1378	San Francisco	soccer	0.997	None	0.1076	0.7162	945	581 m^2	671
6	692 m/(s^2)	0.8615	Long Beach	running	0.6401	756 N	1.2791	0.899	1216	-423 m^2	716
2	1012 m/(s^2)	0.7492	Riverside	golf	0.9094	1242 N	0.8609	0.8198	1245	817 m^2	300
1	163 m/(s^2)	1.4483	Chula Vista	boxing	0.6953	1612 N	1.0081	-0.2123	1185	967 m^2	1173
1	167 m/(s^2)	0.8821	Anaheim	boxing	0.8225	551 N	0.9683	0.0068	1148	732 m^2	965
6	921 m/(s^2)	0.9508	Stockton	tennis	1.1355	465 N	0.7497	0.9534	757	319 m^2	732
2	633 m/(s^2)	1.2728	Riverside	golf	0.6394	1047 N	0.5062	0.6129	811	1354 m^2	308
1	661 m/(s^2)	0.9882	Anaheim	boxing	1.1254	None	0.8098	0.0435	892	407 m^2	884
1	425 m/(s^2)	0.9715	Anaheim	boxing	1.1777	844 N	1.2444	0.1675	968	580 m^2	986
6	1093 m/(s^2)	1.3178	Los Angeles	tennis	0.8475	819 N	0.7556	0.9146	784	526 m^2	?
3	1249 m/(s^2)	0.8007	Oakland	badminton, motor sports	0.9897	1312 N	0.7786	1.066	959	465 m^2	1428
3	746 m/(s^2)	1.0784	San Jose	badminton, motor sports	0.9353	1426 N	1.1393	0.7394	822	896 m^2	1295
2	700 m/(s^2)	0.8192	Sacramento	golf	0.8328	1073 N	0.6235	0.4765	896	463 m^2	200
0	276 m/(s^2)	0.8681	Irvine	track & field	0.7471	431 N	0.8258	0.7377	59	950 m^2	1254
3	1035 m/(s^2)	1.0772	Oakland	baseball	1.0867	1125 N	0.985	0.4069	741	11 m^2	1042
5	1066 m/(s^2)	0.862	Chula Vista	volleyball	0.645	786 N	-0.4212	0.1415	1106	641 m^2	738
4	908 m/(s^2)	0.8792	San Francisco	soccer	1.1333	1096 N	0.4964	0.788	1149	369 m^2	426
4	793 m/(s^2)	0.8872	San Francisco	soccer	0.9273	1278 N	0.5338	0.3914	707	1026 m^2	531
6	848 m/(s^2)	1.0271	Long Beach	football	1.1243	581 N	0.9936	0.6657	1443	449 m^2	659
6	626 m/(s^2)	1.0642	Los Angeles	TENNIS, FOOTBALL	0.6953	670 N	0.8728	0.9034	884	-80 m^2	990
4	896 m/(s^2)	1.1996	San Francisco	soccer	1.2796	904 N	0.3454	0.8391	1083	878 m^2	584
4	946 m/(s^2)	0.6428	San Francisco	SOCCER	1.0	1266 N	0.0596	0.4504	695	1297 m^2	466
2	879 m/(s^2)	1.075	sANTA cLARITA	golf	0.5371	1160 N	0.6074	0.4384	1075	750 m^2	160
5	701 m/(s^2)	0.3166	BAKERSFIELD	volleyball	0.3609	1222 N	-0.0272	0.2349	1066	82 m^2	769
